"","Date","Close.Last","Volume","Open","High","Low","change","change_cat","moon","slash","plus","star","two","lunar","solar","flare"
"1243",2019-04-23,87.97,2220782,87.49,"$88.50","$87.26",-0.480000000000004,0,0,0,0,0,0,0,0,0
"1244",2019-04-22,87.56,2060637,87.77,"$88.55","$87.15",0.209999999999994,1,0,0,0,0,0,0,0,0
"1245",2019-04-18,88.28,3391016,89.67,"$89.81","$87.46",1.39,1,0,0,0,0,0,0,0,0
"1246",2019-04-17,89.24,6419516,87.94,"$89.73","$87.285",-1.3,0,0,0,0,0,0,0,0,0
"1247",2019-04-16,85.17,3723242,84.81,"$85.67","$84.39",-0.359999999999999,0,0,0,0,0,0,0,0,0
"1248",2019-04-15,84.52,2246409,85.31,"$85.43","$84.08",0.790000000000006,1,0,0,0,0,0,0,0,0
"1249",2019-04-12,85.49,4507329,86.19,"$86.50","$85.30",0.700000000000003,1,0,0,0,0,0,0,0,0
"1250",2019-04-11,85.75,2570204,84.56,"$86.42","$84.56",-1.19,0,0,0,0,0,0,0,0,0
"1251",2019-04-10,84.52,3539454,85.33,"$85.55","$83.61",0.810000000000002,1,0,0,0,0,0,0,0,0
"1252",2019-04-09,84.25,2016477,84.09,"$84.64","$83.455",-0.159999999999997,0,0,0,0,0,0,0,0,0
"1253",2019-04-08,84.58,1853037,84.6,"$85.12","$83.80",0.019999999999996,1,0,0,0,0,0,0,0,0
"1254",2019-04-05,84.91,3018089,84.95,"$85.75","$84.52",0.0400000000000063,1,0,0,0,0,0,0,0,0
"1255",2019-04-04,84.64,1748396,84.51,"$85.27","$83.54",-0.129999999999995,0,0,0,0,0,0,0,0,0
"1256",2019-04-03,84.2,4046961,83.25,"$84.92","$83.10",-0.950000000000003,0,0,0,0,0,0,0,0,0
"1257",2019-04-02,82.77,3781034,83.19,"$85.10","$82.34",0.420000000000002,1,0,0,0,0,0,0,0,0
"1258",2019-04-01,80.87,2524897,80.21,"$81.69","$79.56",-0.660000000000011,0,0,0,0,0,0,0,0,0
"1259",2019-03-29,79.78,2449397,79.05,"$80.05","$78.585",-0.730000000000004,0,0,0,0,0,0,0,0,0
"1260",2019-03-28,78.6,1563094,78.99,"$79.29","$77.78",0.390000000000001,1,0,0,0,0,0,0,0,0
"1261",2019-03-27,78.53,2368232,77.54,"$79.57","$77.50",-0.989999999999995,0,0,0,0,0,0,0,0,0
"1262",2019-03-26,77.49,3061180,78.46,"$78.82","$77.02",0.969999999999999,1,0,0,0,0,0,0,0,0
"1263",2019-03-25,78.12,4721849,79.68,"$80.01","$78.09",1.56,1,0,0,0,0,0,0,0,0
"1264",2019-03-22,79.63,3145611,80.64,"$80.77","$78.75",1.01000000000001,1,0,0,0,0,0,0,0,0
"1265",2019-03-21,81,2330211,80.29,"$81.46","$79.69",-0.709999999999994,0,1,0,0,0,0,0,0,0
"1266",2019-03-20,79.83,4509342,81.18,"$81.40","$79.79",1.35000000000001,1,0,0,0,0,0,0,0,0
"1267",2019-03-19,81.34,2331806,80.93,"$81.865","$80.745",-0.409999999999997,0,0,0,0,0,0,0,0,0
"1268",2019-03-18,80.73,2780180,81.39,"$81.74","$80.50",0.659999999999997,1,0,0,0,0,0,0,0,0
"1269",2019-03-15,81.69,4860337,81.76,"$82.48","$81.38",0.0700000000000074,1,0,0,0,0,0,0,0,0
"1270",2019-03-14,81.49,1815213,81.2,"$82.06","$81.09",-0.289999999999992,0,0,0,0,0,0,0,0,0
"1271",2019-03-13,81.21,3445372,80.5,"$81.40","$79.88",-0.709999999999994,0,0,0,0,0,0,0,0,0
"1272",2019-03-12,79.85,5992881,82.67,"$82.91","$79.59",2.82000000000001,1,0,0,0,0,0,0,0,0
"1273",2019-03-11,82.38,5038113,81.94,"$82.53","$81.74",-0.439999999999998,0,0,0,0,0,0,0,0,0
"1274",2019-03-08,82.4,2316209,81.99,"$82.90","$81.62",-0.410000000000011,0,0,0,0,0,0,0,0,0
"1275",2019-03-07,82.61,4554755,83.98,"$84.20","$81.95",1.37,1,0,0,0,0,0,0,0,0
